GameID,Uid,Comment,Stars,Date
1042,4,Storyline was gripping and emotional.,1,2024-07-29
1054,3,Good game but has some bugs.,3,2024-11-01
1074,8,Needs more content and better controls.,5,2024-01-21
1175,1,Beautiful visuals but poor optimization.,2,2024-05-10
1177,8,Solid mechanics but lacking originality.,4,2023-07-17
1208,11,Too short - finished in one evening.,2,2024-07-21
1166,12,Super fun and addictive.,2,2024-07-06
1152,13,Solid mechanics but lacking originality.,2,2025-02-09
1139,12,Good game but has some bugs.,3,2024-03-12
1089,13,Best game I've played this year!,4,2023-08-17
1150,8,Fantastic gameplay and graphics!,4,2024-09-02
1100,13,Absolutely loved it! Highly recommended.,5,2025-04-14
1201,13,Excellent voice acting and plot.,2,2025-03-09
1181,5,Storyline was gripping and emotional.,2,2023-07-24
1125,12,Good game but has some bugs.,4,2025-02-20
1167,1,Not what I expected - could be better.,4,2023-07-04
1038,5,Beautiful visuals but poor optimization.,4,2024-06-22
1018,9,Good game but has some bugs.,2,2024-03-26
1024,8,Super fun and addictive.,1,2023-10-13
1118,6,Absolutely loved it! Highly recommended.,5,2025-02-27
1045,12,Awesome experience - will play again.,3,2024-09-26
1097,13,Awesome experience - will play again.,3,2023-11-18
1199,13,Enjoyed playing with friends - great multiplayer.,2,2023-08-16
1049,6,Storyline was gripping and emotional.,5,2023-06-14
1024,4,Not what I expected - could be better.,5,2023-08-08
1128,7,Not what I expected - could be better.,2,2025-03-28
1210,10,Awesome experience - will play again.,3,2023-05-24
1021,3,Enjoyed playing with friends - great multiplayer.,5,2025-02-26
1166,11,Super fun and addictive.,2,2023-11-30
1120,1,Needs more content and better controls.,1,2025-01-17
1058,11,Fantastic gameplay and graphics!,1,2023-11-25
1154,6,Disappointing - had high hopes.,5,2025-03-01
1161,10,Awesome experience - will play again.,2,2024-04-18
1130,5,Excellent voice acting and plot.,2,2024-07-05
1202,12,Beautiful visuals but poor optimization.,5,2023-12-12
1175,3,Fantastic gameplay and graphics!,4,2023-09-03
1103,8,Enjoyed playing with friends - great multiplayer.,2,2024-06-04
1124,8,Enjoyed playing with friends - great multiplayer.,5,2025-01-19
1181,4,Super fun and addictive.,4,2024-09-19
1132,1,Pretty average overall.,1,2024-12-23
1114,6,Super fun and addictive.,4,2023-08-04
1164,2,Disappointing - had high hopes.,3,2025-02-24
1016,13,Solid mechanics but lacking originality.,5,2024-09-15
1087,9,Not what I expected - could be better.,5,2023-07-14
1041,3,Needs more content and better controls.,3,2023-10-06
1108,13,Disappointing - had high hopes.,2,2023-12-05
1135,1,Storyline was gripping and emotional.,4,2025-02-22
1012,11,Not what I expected - could be better.,5,2023-11-10
1016,6,Fantastic gameplay and graphics!,4,2024-09-20
1101,11,Good game but has some bugs.,1,2025-04-23
1033,5,Best game I've played this year!,2,2023-11-19
1021,13,Enjoyed playing with friends - great multiplayer.,1,2024-04-12
1100,7,Awesome experience - will play again.,5,2024-08-14
1106,4,Needs more content and better controls.,5,2023-07-30
1054,12,Pretty average overall.,2,2024-10-27
1125,1,Needs more content and better controls.,5,2024-08-20
1164,9,Solid mechanics but lacking originality.,2,2024-08-06
1093,11,Storyline was gripping and emotional.,4,2023-07-06
1138,12,Needs more content and better controls.,3,2023-10-04
1153,12,Pretty average overall.,1,2023-10-19
1147,1,Too short - finished in one evening.,5,2025-03-21
1153,7,Absolutely loved it! Highly recommended.,1,2024-03-08
1011,4,Fantastic gameplay and graphics!,4,2025-01-29
1017,3,Not what I expected - could be better.,4,2023-08-16
1119,6,Storyline was gripping and emotional.,4,2024-05-01
1148,2,Excellent voice acting and plot.,5,2024-04-03
1094,3,Absolutely loved it! Highly recommended.,4,2024-09-27
1200,2,Good game but has some bugs.,1,2024-12-17
1194,2,Disappointing - had high hopes.,5,2024-01-02
1089,9,Awesome experience - will play again.,4,2024-06-02
1075,2,Needs more content and better controls.,5,2024-06-18
1059,7,Beautiful visuals but poor optimization.,2,2024-09-04
1194,13,Absolutely loved it! Highly recommended.,3,2023-07-05
1081,10,Needs more content and better controls.,2,2025-02-12
1039,9,Too short - finished in one evening.,1,2023-11-02
1175,13,Awesome experience - will play again.,5,2024-06-01
1073,7,Absolutely loved it! Highly recommended.,2,2025-02-03
1067,7,Not what I expected - could be better.,2,2024-04-01
1098,8,Storyline was gripping and emotional.,2,2023-10-29
1153,12,Best game I've played this year!,3,2023-07-04
1126,3,Solid mechanics but lacking originality.,4,2024-10-31
1108,3,Needs more content and better controls.,1,2023-10-26
1119,13,Pretty average overall.,4,2024-04-15
